City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,tournai,50.6072,3.3893,12.81,86,99,2.9,BE,1684715044
251,yokadouma,3.5167,15.05,21.33,97,93,0.83,CM,1684715044
252,aguas formosas,-17.0822,-40.9358,19.24,87,83,1.4,BR,1684715044
253,puerto aysen,-45.4,-72.7,3.56,94,82,1.59,CL,1684714832
254,madang,-5.2246,145.7966,28.59,70,73,0.81,PG,1684714738
255,moreira sales,-24.0622,-53.0069,17.81,76,100,2.28,BR,1684715045
256,nadym,65.5333,72.5167,5.16,75,10,2.4,RU,1684715045
257,semenivka,52.1783,32.5818,7.64,89,27,3.07,UA,1684715045
258,sarupathar,26.1984,93.8094,22.37,84,88,0.9,IN,1684714804
259,barras,-4.2444,-42.2944,26.66,75,97,1.72,BR,1684715046
260,sauce,-34.6469,-56.0628,18.01,95,98,3.01,UY,1684714834
261,saipan,15.1355,145.701,31.39,100,75,8.75,MP,1684715046
262,menongue,-14.6585,17.691,16.61,68,73,0.7,AO,1684715046
263,mahina,-17.5065,-149.489,29.87,74,40,4.12,PF,1684715046
264,alice springs,-23.7,133.8833,12.75,62,0,3.09,AU,1684714835
265,dunedin,-45.8742,170.5036,11.06,57,97,1.16,NZ,1684714810
266,fortuna,40.5982,-124.1573,15.19,84,100,6.17,US,1684715047
267,monrovia,6.3005,-10.7969,25.87,76,96,2.94,LR,1684715047
268,san pedro,14.35,121.0167,31.26,73,40,1.03,PH,1684714835
269,devils lake,48.1128,-98.8651,21.99,44,0,5.66,US,1684715047
270,tecumseh,42.0039,-83.9449,21.98,46,0,1.54,US,1684715048
271,stanley,54.868,-1.6985,7.16,92,0,0.0,GB,1684715048
272,mahanoro,-19.9,48.8,21.52,86,9,1.96,MG,1684715048
273,egilsstadir,65.2653,-14.3948,6.95,61,75,9.26,IS,1684715048
274,ocean grove,40.2121,-74.0065,21.01,62,0,2.06,US,1684715048
275,baganga,7.5739,126.56,28.3,74,99,0.56,PH,1684715049
276,roseburg,43.2165,-123.3417,20.28,61,100,4.63,US,1684714509
277,shira,54.4911,89.9531,10.38,47,44,2.03,RU,1684715049
278,iwakuni,34.15,132.1833,19.71,83,40,2.57,JP,1684715049
279,gadzhiyevo,69.2551,33.3362,7.66,87,99,3.95,RU,1684714837
280,easton,40.6884,-75.2207,21.38,56,0,3.6,US,1684714805
281,kuraymah,18.55,31.85,29.59,12,67,4.43,SD,1684714838
282,panambi,-28.2925,-53.5017,14.59,91,100,3.59,BR,1684714999
283,rio preto da eva,-2.6994,-59.6997,24.22,96,59,1.18,BR,1684715050
284,novo aripuana,-5.1206,-60.3797,26.49,82,96,1.14,BR,1684714838
285,palmer,42.1584,-72.3287,18.75,69,40,2.06,US,1684715050
286,saudarkrokur,65.7461,-19.6394,3.34,69,91,9.11,IS,1684715050
287,massawa,15.6097,39.45,28.82,76,21,2.85,ER,1684714839
288,ancud,-41.8697,-73.8203,6.99,89,99,1.28,CL,1684715051
289,"laikit, laikit ii (dimembe)",1.4792,124.9735,28.47,74,20,1.54,ID,1684714839
290,icano,-28.9193,-65.3282,15.4,90,34,3.83,AR,1684715051
291,margate,51.3813,1.3862,12.39,81,11,4.02,GB,1684715051
